publish,rd_name,rd_description,external_rd_url,resource_type,partner_name,resource_name,project_image,funding_url,funder_name,rd_period,publication_name,success_story,Separate subpage (y/n)
publish,Produce Data Project,Market Data Guidelines for Produce in Regional Food Systems resources provide an informational framework and data guidelines to increase the consistency of naming and data conventions to aid smaller producers and producer networks in becoming “wholesale ready”.,,"Guideline, Report","Wolfe's Neck Center for Agriculture & the Environment, USDA Agricultural Marketing Service","Produce Data Guidelines-Template, Produce Data Guidelines-Report",Produce_Data_Project_Report.png,,USDA Agricultural Marketing Service,2022-2024,,,Yes
publish,Regenerative Meat Project,"This USDA-funded project focused on strengthening regional meat and meat product supply chains across Northern California. While the project concluded at the end of 2024, both the regional meat producer/supply chain Network and Northern California Regenerative Meat Portal are being continued – hosted by Roots of Change and IC-FOODS, respectively.",https://caregenmeat.net,Portal,"UC Davis Food Systems Lab, UC Davis Institute of the Environment, Roots of Change, California Department of Food and Agriculture, USDA Agricultural Marketing Service",Northern California Regenerative Meat Portal,,,USDA Agricultural Marketing Service,2022-present,,,Yes
publish,Graduate Level AgriFood Informatics Book,"Biological, Chemical, Environmental, and Health Informatics for Agriculture and Food (expected publication fall 2026)",,Book,UC Davis Department of Food Science and Technology,(TBD available formats),,,,2023-2026,,,
publish,ICICLE AI Institute,"U.S. National Science Foundation funded an AI institute for Intelligent Cyberinfrastructure with Computational Learning in the Environment (ICICLE), led by Ohio State University, to build the next generation of Cyberinfrastructure to render Artificial Intelligence (AI) more accessible to everyone and drive its further democratization in the larger society. IC-FOODS co-led the ""Smart Foodsheds"" use case from 2021-2024.",https://icicle.osu.edu/,,"ICICLE AI Institute, Indiana University, Iowa State University, Ohio Supercomputer Center, Case Western Reserve University, Texas Advanced Computing Center, The Ohio State University, UC Davis Institute of the Environment, UC San Diego, University of Wisconsin Madison, University of Utah",,,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2112606,National Science Foundation,2021-2024,,,
publish,Growing GRASS,"The Growing GRASS & Climate-Smart Value-Added U.S. Commodity Markets Project (Growing GRASS Project) was designed to expand markets for climate-smart beef and beef by-products nationwide; and to support farmer and rancher implementation and monitoring of climate-smart practices. 
IC-FOODS led the cyberinfrastucture R&D components of the $35M project--until the overall project was revoked as part of the major USDA grant restructuring process in 2025.",https://www.ggrass.org/,Ontology,"American Sustainable Business Network (ASBN), Other Half Processing, American Grassfed, Pure Strategies, Roots of Change, Autocase, UC Davis Institute of the Environment, California Cattlemen's Association, Lookin.to, Pet Sustainability Coalition, ""Culinary Mind at University of Milan, Italy""",Sustainable Meat Systems Ontology (SuMSO),Growing_GRASS.png,,USDA NIFA,2023-2025,,,
publish,Evidence-to-Claims Engine,"The Evidence-to-Claims Engine (ECE) project aims to streamline the processes around certification and regulation compliance, e.g., to qualify for specialized markets, or to comply with large retailer or government requirements. The ECE will substantially reduce the effort needed by agrifood producers and supply chain stakeholders to enter data about their practices, and provide certifiers, regulators and large retailers with faster compliance checking and aggregate information about their clients. ",,,"OpenTEAM, Friedman School of Nutrition Science and Policy at Tufts University, University of Wisconsin Madison, Texas Advanced Computing Center, Regenerative Rising, Wolfe's Neck Center for Agriculture & the Environment, Fibershed",,,,"Walmart Foundation, USDA",2025-present,,,Not yet
publish,Mobile EMA Platform for Dietary Surveillance in the U.S.,Development and scaling of a mobile dietary assessment tool to facilitate the collection of dietary intake data through brief assessments incorporated into peoples’ daily routines.,,"Ontology, Tool","Georgetown University, VioCare",,,,Georgetown University,2025-present,,,
publish,KnowFOOD Webinar Series,"During the pandemic, KnowFood.Live delivered interactive content that was designed to be intellectually seductive, engaging, memorable, interactive, and fun for executives, professionals, educators, and policy-makers actively engaged in, or considering entering, Local-to-Global Ag/Food/Health Systems and/or in Information Technology related to these systems.",https://www.youtube.com/@knowfood6196,Webinar,Foodtography.Studio,KnowFOOD.Live,,,National Science Foundation,2021-2023,,,Yes
publish,Smart FoodSheds,"NSF RCN: Smart Foodsheds
FORMAL TITLE: Developing an Informational Infrastructure for Building Smart Regional Foodsheds.  (NSF Award SCC.RCN.1737573)
PROJECT GOAL: Develop an informatics framework for understanding and optimizing regional food systems (“foodsheds”). 
DESCRIPTION: This project developed a transdisciplinary research coordination network (RCN), bringing together researchers and community stakeholders to build a general informatics framework for understanding and optimizing the food system. The project enabled two foodsheds—the 6-county Sacramento, California region and the 7-county Columbus, Ohio region—to link multiple data types from multiple sources and convert it into usable information through data analytics approaches.",,"Infrastructure, Training, Publication, Template","""University of California, Davis"", Ohio State University",,,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1737573,National Science Foundation,2018-2021,,,
publish,Cybersecurity for Agrifood,"The Ag-Cybersec project is focused on improving cybersecurity resilience for the nation’s agrifood industry. We are developing a system that provides customized, actionable cybersecurity information and guidance to small- and medium-sized agrifood stakeholders. We are also participating in an initiative to create a 5-university consortium aimed at a coordinated response to current cybersecurity challenges in the agrifood sector, including research, teaching, and extension components.",,,"Iowa State University, North Carolina Agriculture and Technical State University, Texas Advanced Computing Center, UC Agriculture and Natural Resources (UCANR), UC Davis Department of Computer Science, UC Davis School of Veterinary Medicine, University of Nebraska-Lincoln, Virginia Polytechnic Institute and State University, Washington State University",,,,,2024-present,,,
