publish,ra_name,ra_description,partner_name,external_ra_url,output_types,resource_name
publish,Cyberinfrastructure,"Shared data, compute, and collaboration platforms (data commons, APIs, workflow tooling) enabling reproducible, scalable food-systems research and applications.","Texas Advanced Computing Center, UC Davis Food Systems Lab, The Ohio State University, UC Davis Institute of the Environment, UC Davis Department of Computer Science",,,
publish,Cybersecurity,"Security, privacy, and resilience for food-system software, data sharing, and connected devices across the supply chain (threat modeling, secure-by-design, incident readiness).","Iowa State University, North Carolina Agriculture and Technical State University, Texas Advanced Computing Center, UC Agriculture and Natural Resources (UCANR), UC Davis Department of Computer Science, UC Davis School of Veterinary Medicine, University of Nebraska-Lincoln, Virginia Polytechnic Institute and State University, Washington State University",,,
publish,"Data Standards, Ontologies, and Interoperability","Common vocabularies, schemas, identifiers, and ontologies linking foods, ingredients, processing, biomarkers, and health outcomes for cross-dataset interoperability.","UC Davis Institute of the Environment, The Ohio State University, Consulting Group on International Agriculture (CGIAR), Farm Fare, American Grassfed, American Sustainable Business Network (ASBN), Autocase, ""Culinary Mind at University of Milan, Italy"", Fibershed, Future Food Institute, Global ARC, Glycan and Life Systems Integration Center (GaLSIC), Georgetown University, Innovation Institute for Food and Health, National Science Foundation, OpenTEAM, Other Half Processing, UC Davis Department of Computer Science, VioCare, University College Dublin, University of Montpellier, USDA Agricultural Marketing Service, University of Alberta, Lookin.to, UC Davis School of Medicine, Wolfe's Neck Center for Agriculture & the Environment, University of Wisconsin Madison, UC San Francisco, UC San Diego, UC Davis Food Systems Lab, UC Davis Department of Food Science and Technology, Texas Advanced Computing Center, Simon Fraser University, Roots of Change",,,
publish,"Food Processing, Formulation, and Ingredient Substitution","Models and methods to develop new foods, reformulate existing foods, and substitute ingredients/processes while maintaining safety, nutrition, sensory quality, cost, and manufacturability.","New Harvest, Vireo Advisors, UC Davis Department of Food Science and Technology",,,
publish,"Nutrition, Physical Activity, Fitness, and Health","Integrated measurement and analytics across diet, activity, and health data to support population health studies and personalized interventions.","The Ohio State University, Georgetown University, UC Davis School of Medicine, UC Davis Department of Computer Science, Consulting Group on International Agriculture (CGIAR), VioCare",,,
publish,"Food Safety, Microbiology, and Risk Analytics","Data-driven detection, prevention, and response for contamination, allergens, spoilage, and recalls; includes risk scoring and surveillance analytics.","UC Davis Department of Food Science and Technology, Friedman School of Nutrition Science and Policy at Tufts University, Vireo Advisors, New Harvest",,,
publish,Supply Chain Traceability and Provenance,"Lot-level and event-level traceability, provenance, and chain-of-custody data products to improve visibility, compliance, and consumer trust.","USDA Agricultural Marketing Service, Roots of Change, University of Wisconsin Madison, Indiana University, Texas Advanced Computing Center, UC Davis Institute of the Environment, Environmental Change Institute, UC Davis Food Systems Lab, Wolfe's Neck Center for Agriculture & the Environment, Farm Fare, Pet Sustainability Coalition, Other Half Processing, California Department of Food and Agriculture, American Sustainable Business Network (ASBN)",,,
publish,"Sustainability, Climate, and Environmental Footprints","Standardized measurement and reduction of environmental impacts (GHG, water, land, biodiversity) across production, processing, and distribution.","Wolfe's Neck Center for Agriculture & the Environment, ICICLE AI Institute, Roots of Change, UC Davis Institute of the Environment, Fibershed, American Sustainable Business Network (ASBN)",,,
publish,"Food Waste, Loss, and Circularity","Measurement and interventions to reduce loss and waste across the chain (household, retail, processing), including reuse/upcycling and circular-economy analytics.","Wolfe's Neck Center for Agriculture & the Environment, Roots of Change, USDA Agricultural Marketing Service, The Ohio State University",,,
publish,Agriculture Production and Regenerative Systems,"Data and decision tools for on-farm practices, soil health, grazing systems, and regenerative outcomes linked to supply-chain and nutrition impacts.","Wolfe's Neck Center for Agriculture & the Environment, Roots of Change, ICICLE AI Institute, American Grassfed, American Sustainable Business Network (ASBN), Autocase, California Cattlemen's Association, California Department of Food and Agriculture, ""Culinary Mind at University of Milan, Italy"", Fibershed, Other Half Processing, OpenTEAM, Pet Sustainability Coalition, Textile Exchange, UC Davis Institute of the Environment, United States Department of Agriculture (USDA)",,,
