publish,member_role,member_name,member_degree,member_linkedin,member_photo,member_bio,member_google_scholar,member_orcid,member_semantic_scholar,organization?
publish,"Co-Founder, CEO, Chief Science Officer, Board Member",Matthew Lange,PhD,https://www.linkedin.com/in/mateolan/,lange_headshot.jpg,"As CEO and Chief Science Officer of IC-FOODS, Matthew leads efforts to build semantic and AI infrastructures for the Internet of Food (IoF).The IoF is revolutionizing how we produce, process, and consume food. By connecting agriculture, food, culture, and health data, we're opening doors to innovative traceable, and trustworthy products tailored for individual and population-level health, sustainability, and of course, deliciousness. ",https://scholar.google.com/citations?user=xEfbGfgAAAAJ,https://orcid.org/my-orcid?orcid=0000-0002-6148-7962,,"ISO, FNIC, Open Grazing, FoodOn"
publish,"COO, Co-Founder, Board Member",Courtney Riggle,MPP,https://www.linkedin.com/in/courtney-riggle-ab048b/,riggle_headshot.jpg,"Building on deep experience working with ag sector and resource management challenges at all scales, Courtney leverages early work in ag sector policy and human capacity building (Central Asia, Mexico, Global) and development of niche agricultural markets (US) in her current work as Co-Founder and COO of IC-FOODS. Her current focus is on developing ways to capitalize and accelerate the adoption of new technologies to digitize food systems and improve their resilience, efficiency, trust, and traceability. Skills include expertise in supply chains, community engagement, and project management.",,,,Regenerative Meat Production Network
publish,Director of Strategic Partnerships,Troy Ruemping,MBA,https://www.linkedin.com/in/troyruemping/,ruemping_headshot.jpg,Troy helps large and small organizations grow by combining powerful data with purposeful strategy. He applies a passion for public technology in food domains on projects ranging from supply chain to nutrition.,,,,
publish,Principal Scientist,Richard Hull,PhD,https://www.linkedin.com/in/rickhull/,hull_headshot.jpg,"Rick, an ACM Fellow and Bell Labs Fellow, has extensive experience as a computer science researcher, practitioner and educator. He worked at industrial research labs (IBM Research, Bell Labs) and research universities (primarily the University of Southern California).  Rick's research includes applications of AI in areas including Business Process Management and Supply Chain management, the development of personalization technologies in telecommunications, and providing the foundations and prototypes for products in modern Case Management, high-speed rules engines, and data integration.  He co-authored the text ""Foundations of Databases"" (1996), published over 30 journal papers and over 100 conference/workshop papers, and holds 13 US patents.",https://scholar.google.com/citations?user=Yd6uJAgAAAAJ&hl=en,https://orcid.org/0009-0005-8960-8526,,
publish,Technical Advisor,David Siedband,,https://www.linkedin.com/in/siebo,siedband_headshot.jpg,"David is a software engineer with extensive experience in healthcare, supply chain, analytics-driven marketing. His approach emphasizes software reliability, performance, security, and usability, often working in high stakes, and heavily regulated markets. His clients include Cisco, Eli Lilly, NIH, the UN, USAID, and Citröen.",,,,
publish,"""Executive Director, IC-FOODS Canada""",Emily Steliotes,PhD,https://www.linkedin.com/in/emilysteliotes/,steliotes_headshot.jpg,"Emily serves as Executive Director of IC-FOODS Canada, where she is building partnerships and programs that strengthen food informatics research and education across Canada. Emily previously spent three years as a doctoral fellow with IC-FOODS, supporting research initiatives, educational content, and community-building efforts across the global food informatics ecosystem. Trained as an interdisciplinary food systems scientist, her work focuses on connecting data, people, and organizations to accelerate innovation and impact across sustainable food systems.",https://scholar.google.com/citations?user=6yRp-MoAAAAJ&hl=en,https://orcid.org/0009-0006-0501-880X,,Open Food Facts Ambassador
publish,Graduate Fellow,Isiaka Salau,,https://www.linkedin.com/in/salauolakunle?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B12lb0rKQTOGBlv1DW%2BVhKA%3D%3D,salau_headshot.jpg,Isiaka is a software engineer with a passion in using technology to solve real-world problems.,,,,
publish,Graduate Fellow,Wendee Hsu,MS,https://www.linkedin.com/in/yuan-chih-hsu/,hsu_headshot.png,"Wendee designs, develops, and cares. Her lifelong goal is to build technology that empowers people to reduce food waste and make a positive impact.",,,,
publish,Graduate Fellow,Riley Lawson,PhD Candidate,https://www.linkedin.com/in/rileylawson2264/,lawson_headshot.png,Riley is using her passion for food equity and sustainability to complete at PhD in agricultural engineering. She uses her skillset to leverage mechanical design and data systems to empower smart agricultural systems.,,https://orcid.org/0009-0007-8463-1772,,
publish,Graduate Fellow,Vasantha Palaniappan,MS,https://www.linkedin.com/in/vasantha-palaniappan/,palaniappan_headshot.jpg,"Vasantha build products with purpose and flavor with proof. She is a food scientist taking concepts to commercialization, and at IC-FOODS, she is building a Knowledge Ontology model of Deliciousness and Desire.",https://scholar.google.com/citations?user=sNDJMQIAAAAJ&hl=en,,,
publish,Board Member,Suzanna Lewis,MS,https://www.linkedin.com/in/suzanna-lewis-a340293/,lewis_headshot.jpg,,,,,
publish,Board Member,Rochelle Swanson,JD,https://www.linkedin.com/in/rochelle-swanson-593b846/,swanson_headshot.jpg,,,,,
publish,Board Member,Damion Dooley,,https://www.linkedin.com/in/damion-dooley-b9a4674/,dooley_headshot.jpg,,,,,
publish,Emeritus Board Member,Ezinne Uzo-Okoro,"PhD, MPA",https://www.linkedin.com/in/ezinneu/,uzo_okoro_headshot.jpg,,,,,
publish,Emeritus Advisor,Thomas Tomich,PhD,https://www.linkedin.com/in/thomas-tomich-a5423a6b/,tomich_headshot.jpg,,,,,
publish,Emeritus Advisor,Jim Quinn,PhD,https://www.linkedin.com/in/extrapolation/,quinn_headshot.jpg,,,,,
publish,Emeritus Advisor,Nick Anderson,PhD,https://www.linkedin.com/in/extrapolation/,anderson_headshot.jpg,,,,,
